date,Petroleum,Natural Gas,Coal,Nuclear,Solar,Wind,Hydro,Geothermal,Ethanol,Biomass
1949,11.882722,5.145142,11.980905,0,0,0,1.424722,0,0,1.549262
1950,13.315484,5.968371,12.347109,0,0,0,1.415411,0,0,1.562307
1951,14.428043,7.048518,12.552996,0,0,0,1.423795,0,0,1.534669
1952,14.955682,7.549621,11.306479,0,0,0,1.465812,0,0,1.474369
1953,15.555829,7.906645,11.372684,0,0,0,1.412859,0,0,1.418601
1954,15.839176,8.330202,9.714667,0,0,0,1.359772,0,0,1.394327
1955,17.254955,8.997935,11.167259,0,0,0,1.359844,0,0,1.424143
1956,17.937473,9.613975,11.349723,0,0,0,1.434711,0,0,1.415871
1957,17.931667,10.190753,10.820631,0.000112,0,0,1.515613,0,0,1.333581
1958,18.526937,10.663199,9.533287,0.001915,0,0,1.591967,0,0,1.323123
1959,19.32265,11.717422,9.518353,0.002187,0,0,1.548465,0,0,1.352874
1960,19.91923,12.385366,9.837785,0.006026,0,0,1.607975,0.000359,0,1.31987
1961,20.216387,12.926392,9.623351,0.019678,0,0,1.656463,0.001001,0,1.294762
1962,21.048981,13.730841,9.906454,0.026394,0,0,1.816141,0.001061,0,1.300242
1963,21.700828,14.403306,10.412538,0.038147,0,0,1.771355,0.00176,0,1.323316
1964,22.301257,15.28785,10.964385,0.039819,0,0,1.886314,0.002132,0,1.336802
1965,23.24568,15.768667,11.580608,0.043164,0,0,2.059077,0.001978,0,1.334761
1966,24.400523,16.995332,12.14308,0.064158,0,0,2.061519,0.001958,0,1.368985
1967,25.283661,17.944788,11.91375,0.088456,0,0,2.346664,0.0033,0,1.340249
1968,26.979447,19.209656,12.330677,0.141534,0,0,2.348629,0.004532,0,1.419495
1969,28.338336,20.677984,12.38154,0.153722,0,0,2.647983,0.006422,0,1.440487
1970,29.520695,21.794707,12.264528,0.239347,0,0,2.633547,0.005511,0,1.430962
1971,30.56129,22.469052,11.598411,0.412939,0,0,2.824151,0.005739,0,1.432323
1972,32.946738,22.69819,12.076917,0.583752,0,0,2.863865,0.015079,0,1.503065
1973,34.837435,22.512399,12.97149,0.910177,0,0,2.861448,0.020422,0,1.529068
1974,33.45366,21.732488,12.662878,1.272083,0,0,3.17658,0.02561,0,1.539662
1975,32.732323,19.947883,12.662786,1.899798,0,0,3.154607,0.03378,0,1.498734
1976,35.177782,20.345426,13.584067,2.111121,0,0,2.976265,0.037513,0,1.713373
1977,37.12398,19.930513,13.922103,2.701762,0,0,2.333252,0.037382,0,1.838332
1978,37.962821,20.0004,13.765575,3.024126,0,0,2.936983,0.030851,0,2.037605
1979,37.122274,20.665817,15.039586,2.775827,0,0,2.930686,0.040262,0,2.151906
1980,34.20452,20.235459,15.422809,2.739169,0,0,2.900144,0.052699,0,2.4755
1981,31.932206,19.74731,15.907526,3.007589,0,0,2.757968,0.059437,0.01272,2.583563
1982,30.232226,18.356222,15.321581,3.131148,0,0,3.265558,0.050627,0.034404,2.629048
1983,30.052216,17.220836,15.894442,3.202549,0,0.000028,3.52726,0.06391,0.063143,2.841271
1984,31.053237,18.393613,17.070622,3.552531,0.000055,0.000068,3.385811,0.080811,0.077302,2.893817
1985,30.924732,17.703482,17.478428,4.075563,0.000111,0.00006,2.970192,0.097421,0.093151,2.923082
1986,32.19826,16.591364,17.260405,4.380109,0.000147,0.000044,3.071179,0.107677,0.107099,2.824995
1987,32.863733,17.639801,18.008451,4.753933,0.000109,0.000037,2.634508,0.11227,0.122725,2.752159
1988,34.222795,18.448393,18.846312,5.586968,0.000094,0.000009,2.334265,0.106338,0.124058,2.891991
1989,34.209296,19.601693,19.069762,5.602161,0.054456,0.022033,2.837263,0.161539,0.125378,3.033979
1990,33.551623,19.603167,19.172635,6.10435,0.058756,0.029007,3.046391,0.170747,0.110867,2.624245
1991,32.846032,20.032958,18.99167,6.422132,0.06161,0.030796,3.015943,0.177626,0.128,2.653797
1992,33.524957,20.713632,19.122471,6.479206,0.062867,0.029863,2.617436,0.178699,0.145005,2.786673
1993,33.68724,21.228902,19.835148,6.410499,0.065175,0.030987,2.891613,0.185673,0.169062,2.73911
1994,34.557545,21.728067,19.909463,6.693877,0.06711,0.03556,2.683457,0.173464,0.188391,2.839143
1995,34.441046,22.671139,20.088727,7.075436,0.068214,0.03263,3.205307,0.152057,0.199797,2.901345
1996,35.674967,23.084647,21.001914,7.086674,0.069112,0.03344,3.589656,0.163359,0.142789,3.014017
1997,36.15848,23.222716,21.445411,6.596992,0.068142,0.033581,3.640458,0.166698,0.183627,2.921593
1998,36.817372,22.830226,21.655744,7.067809,0.067422,0.030853,3.297054,0.16845,0.201034,2.726456
1999,37.836036,22.909227,21.622544,7.610256,0.066034,0.045894,3.267575,0.170921,0.208967,2.754323
2000,38.265934,23.823977,22.579528,7.862349,0.063433,0.057057,2.811116,0.164364,0.235712,2.772515
2001,38.189656,22.772558,21.914268,8.028853,0.06163,0.069617,2.241858,0.164461,0.252647,2.369709
2002,38.225566,23.510081,21.903989,8.145429,0.059928,0.105334,2.689017,0.171164,0.303333,2.397288
2003,38.789798,22.830642,22.320928,7.959622,0.058372,0.113273,2.792539,0.173445,0.403087,2.403384
2004,40.226667,22.923061,22.466195,8.222774,0.058302,0.141664,2.688468,0.178147,0.497777,2.510295
2005,40.302834,22.565364,22.796543,8.16081,0.057783,0.178088,2.702942,0.180703,0.574014,2.539916
2006,39.823636,22.238738,22.44716,8.214626,0.060596,0.263738,2.869035,0.1812,0.76626,2.49588
2007,39.490782,23.662759,22.749466,8.458589,0.065397,0.340503,2.446389,0.185774,0.982814,2.50201
2008,36.90682,23.842953,22.387437,8.426491,0.073848,0.545548,2.511108,0.192433,1.357144,2.494248
2009,34.95905,23.41594,19.691205,8.35522,0.0777,0.721129,2.668824,0.200185,1.553334,2.382697
2010,35.488766,24.574754,20.833968,8.434433,0.090478,0.923427,2.538541,0.207979,1.821121,2.448599
2011,34.823508,24.954539,19.657784,8.268698,0.110891,1.167636,3.102852,0.212311,1.933413,2.472039
2012,34.015932,26.088582,17.378234,8.061822,0.157023,1.340059,2.628702,0.211592,1.892252,2.47687
2013,34.608605,26.805134,18.038633,8.244433,0.225035,1.601359,2.562382,0.214006,2.007181,2.665979
2014,34.881101,27.382872,17.997632,8.337559,0.336793,1.727542,2.466577,0.21449,2.066833,2.757783
2015,35.592292,28.146824,15.571021,8.33768,0.426463,1.777306,2.321177,0.211836,2.144978,2.589187
2016,35.432079,28.593996,13.934096,8.344957,0.587096,2.110612,2.477264,0.225808,2.275203,2.481169
2017,35.703839,28.766603,14.121863,8.284113,0.763585,2.30804,2.509136,0.178716,2.400338,2.298755
2018,36.254993,29.022688,14.131117,8.150873,0.864235,2.482642,2.707721,0.174289,2.413272,2.363971
2019,36.420858,28.762493,14.824502,8.052432,0.932038,2.586092,2.906678,0.172986,2.427676,2.420585
2020,36.29663,28.21674,15.236478,7.967206,1.001209,3.026647,2.938529,0.194451,2.423558,2.43861
2021,36.27216,28.090239,14.943038,8.077239,1.060799,3.603889,2.938702,0.217068,2.404215,2.473518
2022,36.220961,28.072969,14.448689,8.114388,1.248569,4.237181,2.939673,0.237268,2.396555,2.512068
2023,36.091044,28.231184,14.22141,8.142645,1.326246,4.606067,2.943874,0.263052,2.390892,2.5395
2024,35.853788,28.667879,13.883812,8.153687,1.371469,4.674276,2.948852,0.283429,2.383238,2.570349
2025,35.509371,29.143995,13.470406,8.089303,1.42169,4.68097,2.954711,0.296306,2.379135,2.578324
2026,35.204976,29.571499,13.011183,7.995818,1.494648,4.68524,2.960161,0.313973,2.351309,2.578222
2027,34.912449,29.709593,12.571983,8.013367,1.589633,4.688673,2.960707,0.336732,2.340739,2.627416
